2010-12-02,2860.464,2856.931,2843.607,10419575500.0,12543.268,12505.955,12409.019,821958100.0,1187.103,1183.942,1177.84,125154900.0,3185.76,3177.761,3155.059,6102390800.0,3643.578,3636.814,3598.026,512331500.0,3266.549,3260.111,3231.965,1266343800.0,2863.093,2858.149,2840.847,1260409300.0,4083.69,4066.359,4029.811,433016500.0,7245.206,7187.707,7117.535,271164200.0,6783.471,6750.209,6695.256,110731200.0,3905.09,3898.4,3877.278,1654968200.0,1999.67,1992.96,1979.79,233248900.0,2528.163,2545.162,2534.586,103185800.0,1751.944,1743.743,1733.734,256991400.0,3416.953,3402.773,3374.306,1797327300.0,2914.03,2907.513,2890.252,2275047500.0,3546.084,3534.307,3505.056,4543494000.0,2805.842,2800.753,2783.524,5021214200.0,1723.536,1717.422,1708.201,782270800.0,3632.505,3624.075,3612.67,1004598600.0,4108.901,4101.851,4077.479,350694100.0,1582.413,1582.289,1574.425,344241400.0,3036.031,3031.463,3010.959,3592468000.0,3678.258,3663.513,3635.517,2509922800.0,4080.781,4071.046,4043.954,3545293200.0,1262.003,1259.261,1253.257,1295536400.0,14.11,13.73,13.82,8963281.0,
2010-12-03,2846.725,2838.847,2842.431,8352101000.0,12457.995,12435.73,12443.0,706416200.0,1177.169,1161.86,1157.939,120486700.0,3161.93,3154.452,3158.156,5047535400.0,3603.155,3577.78,3582.625,339670600.0,3235.893,3212.338,3221.207,1018148900.0,2847.778,2835.701,2839.841,1149671900.0,4040.113,4022.976,4024.913,407581400.0,7138.213,7141.244,7144.281,221339000.0,6700.644,6621.271,6615.33,94672800.0,3887.799,3900.955,3904.525,1336420000.0,1983.802,1978.141,1977.94,176954500.0,2537.202,2518.759,2505.712,78942100.0,1736.252,1732.871,1738.483,224134200.0,3384.704,3374.021,3373.162,1636818600.0,2893.629,2890.963,2893.749,1649764200.0,3515.374,3501.071,3503.216,3922644100.0,2787.737,2785.181,2789.893,3935589600.0,1711.196,1703.741,1706.164,694195200.0,3618.672,3615.577,3613.39,550187800.0,4095.857,4124.951,4126.42,541596500.0,1579.561,1578.36,1585.574,340247800.0,3018.008,3017.336,3022.993,2865526800.0,3642.576,3622.823,3623.258,2182008600.0,4049.255,4033.559,4033.64,2793003300.0,1252.881,1244.591,1242.238,1120737300.0,13.79,13.04,12.98,12191317.0,
2010-12-06,2850.382,2850.838,2857.178,8977305500.0,12486.317,12454.17,12422.785,772462700.0,1157.72,1138.807,1134.383,113312100.0,3168.875,3164.486,3165.57,5636263000.0,3611.759,3614.226,3627.956,374091400.0,3249.182,3241.303,3235.764,1014846400.0,2841.778,2826.307,2820.2,1239648400.0,4035.254,4011.879,3989.677,382123800.0,7161.999,7006.567,6955.324,208997900.0,6649.187,6595.239,6613.808,138548000.0,3911.518,3944.376,3961.07,1793280700.0,1974.75,1935.692,1918.197,158392900.0,2526.9,2539.326,2531.377,94998800.0,1739.392,1728.128,1730.773,231334800.0,3386.322,3380.393,3376.902,1865005700.0,2902.006,2914.358,2924.155,2289744600.0,3517.148,3499.629,3491.533,4073290100.0,2797.957,2802.998,2810.154,4498029000.0,1708.108,1702.6,1702.163,773754000.0,3625.128,3645.76,3652.71,752380500.0,4130.405,4133.659,4113.01,459798900.0,1587.158,1580.666,1581.299,331348300.0,3036.058,3046.814,3055.666,3417307500.0,3630.667,3599.284,3587.172,2218955600.0,4041.826,4013.13,4000.442,2810145200.0,1243.877,1229.512,1223.391,1021488000.0,12.78,12.74,12.61,8710645.0,
2010-12-07,2843.767,2844.539,2875.861,8678549700.0,12387.781,12484.341,12656.997,868067300.0,1132.328,1147.202,1161.692,92493600.0,3152.733,3161.395,3200.339,5848365300.0,3600.428,3617.492,3676.216,409559600.0,3218.68,3251.08,3311.005,1394354000.0,2810.806,2810.633,2844.531,1271219200.0,3977.305,3994.7,4050.593,463313400.0,6981.56,7042.675,7102.777,187963300.0,6586.129,6629.327,6696.929,105920800.0,3942.032,3944.336,3978.93,1558666000.0,1910.951,1917.762,1939.758,168576600.0,2516.486,2515.498,2543.125,84706900.0,1726.23,1715.712,1729.384,204085500.0,3365.897,3378.602,3420.754,1871612900.0,2909.502,2907.47,2937.728,2173363400.0,3480.676,3499.781,3546.474,4364477400.0,2796.484,2798.62,2829.592,4666228000.0,1697.693,1691.252,1705.868,768043200.0,3637.545,3623.53,3650.64,636730600.0,4107.221,4137.143,4185.94,472398300.0,1573.636,1568.355,1586.428,333267000.0,3039.25,3046.543,3085.762,3560768000.0,3579.643,3591.643,3632.616,2287597300.0,3986.56,4007.757,4064.893,2971431800.0,1220.879,1231.47,1250.585,1086265800.0,12.6,12.85,12.98,6949478.0,
2010-12-08,2868.733,2864.791,2848.546,8670737900.0,12671.809,12706.866,12615.412,912377700.0,1160.923,1166.819,1160.239,101837300.0,3194.895,3194.007,3171.882,5951566300.0,3663.545,3658.201,3629.477,373127600.0,3288.007,3299.32,3264.79,1213284900.0,2845.611,2873.477,2864.41,1761705200.0,4041.478,4040.211,4018.037,439311500.0,7167.822,7179.798,7123.199,253583500.0,6676.686,6696.49,6674.93,93399400.0,3970.57,3940.289,3909.148,1365633000.0,1942.354,1931.381,1927.651,155316600.0,2541.943,2549.685,2533.91,84434200.0,1728.094,1718.951,1713.634,211770300.0,3416.79,3416.219,3392.261,1985548900.0,2931.447,2919.195,2899.4,2032936000.0,3542.833,3550.971,3526.484,4615236900.0,2823.131,2816.196,2796.479,4662624100.0,1705.573,1708.512,1702.691,912176700.0,3642.911,3615.854,3594.79,620576000.0,4184.912,4161.66,4129.61,425566400.0,1584.104,1586.331,1576.881,343327400.0,3075.431,3065.719,3039.709,3228724900.0,3635.296,3649.768,3632.767,2722841300.0,4063.046,4076.346,4048.211,3007050500.0,1249.543,1254.973,1250.746,1068119400.0,12.85,13.16,13.37,5543769.0,
2010-12-09,2837.615,2830.457,2810.949,9462255200.0,12563.549,12475.645,12353.266,821030000.0,1158.817,1153.141,1144.531,99630200.0,3155.996,3147.857,3123.366,6615296500.0,3602.552,3590.023,3553.076,288132600.0,3244.523,3240.518,3211.14,1277552200.0,2849.054,2866.962,2846.875,2309284000.0,4005.575,3962.527,3918.744,436894300.0,7114.192,7003.49,6970.97,196699100.0,6640.199,6602.069,6535.212,98515700.0,3887.683,3872.893,3846.691,1473598600.0,1914.964,1919.332,1918.073,198577600.0,2540.588,2525.549,2532.027,92877900.0,1709.885,1711.441,1699.411,243164300.0,3373.518,3354.646,3327.86,2099120300.0,2885.042,2883.595,2858.934,2502524100.0,3508.577,3490.272,3463.148,4940325700.0,2782.643,2781.639,2760.177,5343729500.0,1699.709,1713.955,1703.833,1288814600.0,3578.443,3562.795,3544.41,684456500.0,4109.768,4048.368,4014.53,534860300.0,1568.903,1573.403,1561.682,436147100.0,3021.621,3015.697,2991.468,3377676200.0,3619.567,3606.954,3580.246,3237620300.0,4028.427,3999.359,3964.296,3053383900.0,1244.278,1237.376,1228.524,1067507700.0,13.37,13.32,13.37,5193580.0,
2010-12-10,2798.736,2822.955,2841.04,8049610800.0,12274.566,12388.407,12460.464,716147700.0,1139.828,1155.668,1166.801,102989800.0,3107.379,3137.333,3161.977,5710810500.0,3529.138,3579.344,3609.986,361067000.0,3182.345,3233.097,3266.513,1057779200.0,2831.292,2854.292,2878.539,1658586000.0,3905.899,3929.805,3953.762,394505700.0,6923.681,6920.573,6968.141,195876700.0,6501.634,6573.656,6628.585,83628400.0,3832.711,3869.66,3893.462,1248964500.0,1908.046,1927.054,1939.492,206249400.0,2525.93,2584.622,2605.784,238952100.0,1700.373,1711.22,1722.1,265201500.0,3313.683,3340.876,3361.318,1686746500.0,2848.918,2873.277,2892.866,2004587400.0,3442.641,3474.739,3501.716,4311405600.0,2747.964,2775.184,2797.22,4629246500.0,1701.157,1711.831,1722.147,1075551100.0,3540.144,3562.812,3578.84,653933600.0,3998.824,4018.01,4023.1,365307200.0,1557.906,1561.089,1570.863,313407000.0,2975.643,3009.188,3033.225,2917463900.0,3562.815,3589.893,3616.177,2793346700.0,3940.897,3979.982,4009.919,2710525700.0,1223.477,1236.993,1247.434,868759800.0,13.16,13.5,13.58,3265745.0,
2010-12-13,2850.325,2887.455,2922.954,12887846800.0,12546.048,12733.179,12905.024,1165035700.0,1175.509,1200.71,1209.271,162476300.0,3176.335,3220.416,3261.061,9571373900.0,3635.185,3715.603,3804.729,842797700.0,3287.55,3356.361,3409.492,1769989400.0,2895.832,2950.181,2970.854,2618493800.0,3967.915,4060.171,4120.459,663452100.0,6997.933,7024.518,7089.705,283476800.0,6656.132,6714.37,6748.411,157535600.0,3904.309,3928.305,3971.322,1917541000.0,1952.322,1980.178,1991.891,324268900.0,2611.596,2731.036,2799.282,608966100.0,1727.447,1743.989,1760.423,384852700.0,3379.215,3425.586,3468.725,2938513700.0,2902.017,2938.733,2977.268,3590414700.0,3521.721,3576.253,3621.067,6995645700.0,2807.096,2842.19,2878.25,7647546700.0,1728.552,1762.566,1782.366,2105007600.0,3581.224,3600.666,3636.41,993018500.0,4058.911,4097.863,4150.71,545423600.0,1576.494,1596.389,1613.17,519106700.0,3045.655,3082.949,3126.341,4950358500.0,3634.936,3696.022,3732.86,4621015500.0,4034.282,4097.327,4139.437,4018445900.0,1254.271,1273.582,1282.363,1368019000.0,13.58,13.98,14.01,5385308.0,
2010-12-14,2928.3,2922.589,2927.077,12094493600.0,12953.993,12914.057,12926.615,1041232000.0,1211.463,1214.932,1218.52,142264900.0,3270.201,3266.01,3269.474,8410424100.0,3820.559,3799.621,3806.991,616633400.0,3434.196,3425.685,3433.858,1705005600.0,2976.441,2977.145,2987.189,2033323700.0,4131.261,4134.275,4138.453,584886400.0,7101.895,7150.377,7173.568,315471800.0,6772.332,6736.165,6722.003,138687200.0,3972.87,3961.312,3955.493,1548530800.0,2012.068,2021.85,2019.716,367228800.0,2838.157,2856.12,2857.991,711144900.0,1760.196,1759.906,1769.339,389511400.0,3479.28,3474.459,3478.357,2502849000.0,2985.963,2978.366,2978.454,3270306600.0,3632.457,3630.929,3637.802,6019308500.0,2885.462,2879.692,2880.585,6786766100.0,1789.92,1786.739,1793.428,1873813300.0,3640.413,3627.532,3620.78,711877200.0,4152.709,4151.431,4169.36,548767400.0,1615.392,1620.061,1620.009,514122300.0,3134.432,3125.993,3126.095,4273517200.0,3744.491,3747.454,3756.961,4136906900.0,4154.013,4157.278,4172.734,4112352000.0,1284.868,1289.237,1295.57,1517613900.0,14.01,14.58,15.03,7496348.0,
2010-12-15,2927.264,2921.803,2911.414,10946248900.0,12934.72,12904.617,12829.364,909188700.0,1217.808,1217.347,1211.804,142883500.0,3270.781,3263.329,3247.644,7226978500.0,3803.313,3860.647,3838.865,652104100.0,3435.712,3424.205,3393.233,1278882400.0,2986.355,2964.979,2947.944,1661696400.0,4139.282,4111.03,4087.333,494456900.0,7199.63,7230.794,7192.137,332765800.0,6734.251,6746.708,6773.243,157271100.0,3959.29,3948.961,3933.791,1643941400.0,2018.578,2003.317,1993.225,251352900.0,2841.435,2837.311,2788.265,339077400.0,1765.877,1763.085,1763.983,415430000.0,3479.672,3476.558,3462.713,2302773900.0,2978.793,2975.653,2964.051,2839429400.0,3639.726,3632.073,3614.597,5269244000.0,2881.413,2874.341,2860.606,5805899500.0,1789.364,1781.652,1775.894,1376627200.0,3627.631,3626.73,3615.69,811723100.0,4169.129,4146.972,4144.17,490633100.0,1621.143,1612.759,1608.291,415471600.0,3127.531,3122.0,3106.127,3875999700.0,3758.139,3747.453,3730.302,3350978700.0,4176.117,4172.502,4154.519,3821259200.0,1295.476,1294.44,1290.011,1391805300.0,14.94,14.84,14.62,6192834.0,
